country,year,iso_code,co2_per_capita,consumption_co2_per_capita,co2_per_gdp,consumption_co2_per_gdp,energy_per_capita,primary_energy_consumption,energy_per_gdp,gdp,population
Hong Kong,2019,HKG,5.596796035766602,16.525362014770508,0.1127518415451049,0.3329163789749145,46026.33203125,344.5447082519531,0.927236557006836,371582312306.0,7485817.0
Hungary,2019,HUN,5.031444549560547,6.66050910949707,0.184351846575737,0.244040697813034,28135.388671875,274.8924865722656,1.0308791399002075,266658311342.0,9770346.0
Iceland,2019,ISL,9.849047660827637,,0.2284546345472335,,175565.6875,63.328125,4.072352886199951,15550746271.0,360709.0
India,2019,IND,1.8798543214797971,1.6322848796844482,0.2721259593963623,0.2362880408763885,6682.06787109375,9281.5947265625,0.967289924621582,9595463242427.0,1389030307.0
Indonesia,2019,IDN,2.440643072128296,2.437562704086304,0.2032194137573242,0.2029629200696945,8271.658203125,2253.93896484375,0.6887370944023132,3272568062078.0,272489381.0
Iran,2019,IRN,8.354448318481445,7.061392307281494,0.5054848194122314,0.4272486269474029,37875.234375,3297.1015625,2.2916359901428223,1438754460224.0,87051649.0
Iraq,2019,IRQ,4.655681133270264,,0.3567635416984558,,16212.3828125,667.8232421875,1.2423503398895264,537548265143.0,41192172.0
Ireland,2019,IRL,7.5402631759643555,9.370299339294434,0.126313641667366,0.156970202922821,38065.55078125,187.79612731933597,0.6376698613166809,294503693886.0,4933493.0
Israel,2019,ISR,6.809168815612793,10.21345329284668,0.1986195892095565,0.2979206144809723,34826.125,301.5059814453125,1.015858173370361,296799271432.0,8657466.0
Italy,2019,ITA,5.64838171005249,7.492254257202148,0.1605302393436432,0.2129341512918472,30599.509765625,1839.95263671875,0.8696555495262146,2115725732767.0,60130136.0
Jamaica,2019,JAM,3.343451499938965,3.227854490280152,0.4620601832866668,0.4460848569869995,14605.5615234375,41.23551559448242,2.018467664718628,20429119874.0,2823275.0
Japan,2019,JPN,8.698247909545898,9.831781387329102,0.2280066758394241,0.2577199339866638,41086.21875,5205.60009765625,1.0769907236099243,4833467877373.0,126699421.0
Jordan,2019,JOR,2.3022892475128174,3.060621738433838,0.255767822265625,0.3400131165981293,10373.841796875,110.70853424072266,1.1524593830108645,96062846478.0,10671893.0
Kazakhstan,2019,KAZ,15.411059379577637,10.99714183807373,0.6151528358459473,0.4389654397964477,41578.890625,798.7120361328125,1.659676432609558,481245619523.0,19209556.0
Kenya,2019,KEN,0.3546460568904876,0.5898156762123108,0.1077981814742088,0.1792803108692169,1678.614013671875,85.94978332519531,0.5102313160896301,168452589868.0,51202829.0
Kuwait,2019,KWT,23.559091567993164,24.341670989990234,0.477420449256897,0.4932792782783508,99692.8828125,442.8558349609375,2.0202572345733643,219207651814.0,4442201.0
Kyrgyzstan,2019,KGZ,1.393072247505188,2.694538116455078,0.2894620895385742,0.5598896145820618,7083.4140625,45.99994659423828,1.4718403816223145,31253353975.0,6494036.0
Laos,2019,LAO,2.533958673477173,1.854997396469116,0.3724337518215179,0.2726420164108276,10097.1630859375,73.07958221435547,1.4840511083602903,49243304815.0,7237635.0
Latvia,2019,LVA,3.9876632690429688,7.874127388000488,0.1545839607715606,0.305244892835617,23645.1015625,45.26303863525391,0.9166154265403748,49380620266.0,1914267.0
